epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
90,7704.58,0.68388,0.33411,0.87817,0.95369,0.92141,0.94579,0.71628,0.77111,0.34558,0.88471,0.000198206,0.000198206,0.000198206
91,7793.83,0.65446,0.30899,0.86656,0.94352,0.91364,0.94081,0.70892,0.77694,0.34717,0.88652,0.000181703,0.000181703,0.000181703
92,7879.82,0.64795,0.30515,0.86207,0.94065,0.91789,0.94341,0.71732,0.78822,0.34968,0.89067,0.0001652,0.0001652,0.0001652
93,7961.9,0.64863,0.30334,0.86147,0.93943,0.92001,0.94338,0.71675,0.79549,0.35072,0.89433,0.000148696,0.000148696,0.000148696
94,8043.41,0.63944,0.29961,0.85924,0.93224,0.92642,0.94378,0.71355,0.79478,0.34374,0.89443,0.000132193,0.000132193,0.000132193
95,8125.34,0.64153,0.29734,0.86119,0.94363,0.92186,0.94464,0.71313,0.79002,0.34743,0.8938,0.00011569,0.00011569,0.00011569
96,8206.47,0.64517,0.29812,0.8613,0.93861,0.92395,0.94247,0.71525,0.79498,0.34397,0.89535,9.91865e-05,9.91865e-05,9.91865e-05
97,8288.19,0.63291,0.29417,0.85541,0.94513,0.92222,0.94256,0.71339,0.79156,0.34397,0.89422,8.26832e-05,8.26832e-05,8.26832e-05
98,8371.97,0.63168,0.29342,0.85827,0.9454,0.92396,0.94317,0.70929,0.79065,0.34298,0.89318,6.61799e-05,6.61799e-05,6.61799e-05
99,8452.19,0.63779,0.29255,0.8629,0.9423,0.9113,0.94348,0.70975,0.79136,0.34093,0.89151,4.96766e-05,4.96766e-05,4.96766e-05
100,8533.9,0.62512,0.28881,0.8565,0.93853,0.91584,0.94357,0.71169,0.79334,0.34078,0.89066,3.31733e-05,3.31733e-05,3.31733e-05
